,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/1/23,8.7,8,1,4.1,8,1,84,8,1,雨,8,1,曇,8,1
2020/1/24,13.4,8,1,7.4,8,1,73,8,1,曇,8,1,薄曇時々晴,8,1
2020/1/25,10.2,8,1,5.9,8,1,47,8,1,曇,8,1,曇後一時雨,8,1
2020/1/26,7.6,8,1,2.7,8,1,78,8,1,雨後曇,8,1,薄曇,8,1
2020/1/27,6.5,8,1,2.9,8,1,72,8,1,曇,8,1,雨時々みぞれ一時雪,8,1
2020/1/28,7.0,8,1,0.6,8,1,98,8,1,雨,8,1,大雨,8,1
2020/1/29,18.6,8,1,6.9,8,1,83,8,1,晴一時雨,8,1,晴一時曇,8,1
2020/1/30,17.5,8,1,6.8,8,1,61,8,1,晴,8,1,晴時々曇,8,1
2020/1/31,12.1,8,1,3.5,8,1,44,8,1,晴,8,1,快晴,8,1
2020/2/1,13.4,8,1,3.0,8,1,40,8,1,快晴,8,1,晴,8,1
2020/2/2,13.8,8,1,5.0,8,1,40,8,1,晴,8,1,曇後一時雨,8,1
2020/2/3,15.2,8,1,5.3,8,1,52,8,1,晴時々曇,8,1,晴時々薄曇,8,1
2020/2/4,11.4,8,1,4.8,8,1,54,8,1,曇時々晴,8,1,晴,8,1
2020/2/5,15.2,8,1,2.4,8,1,49,8,1,晴,8,1,晴後一時曇,8,1
2020/2/6,6.9,8,1,-0.4,8,1,34,8,1,快晴,8,1,快晴,8,1
